Date,Time,Turbidity
2/17/2026,19:39:54,92.9
2/17/2026,19:41:54,282.6
2/17/2026,19:43:54,74
2/17/2026,19:45:54,65.9
2/17/2026,19:47:54,86.5
2/17/2026,19:49:54,85.4
2/17/2026,19:51:54,92.9
2/17/2026,19:53:54,93.9
2/17/2026,19:55:54,101.5
2/17/2026,19:57:54,109.2
2/17/2026,19:59:54,164.3
2/17/2026,20:01:54,139
2/17/2026,20:03:54,175.5
2/17/2026,20:05:54,183
2/17/2026,20:07:54,251.2
2/17/2026,20:09:54,247
2/17/2026,20:11:54,188.1
2/17/2026,20:13:54,210.3
2/17/2026,20:15:54,254
2/17/2026,20:17:54,207.6
2/17/2026,20:19:54,229.1
2/17/2026,20:21:54,210.3
2/17/2026,20:23:54,278.2
2/17/2026,20:25:54,235.9
2/17/2026,20:27:54,235.9
2/17/2026,20:29:54,238.6
2/17/2026,20:31:54,238.6
2/17/2026,20:33:54,235.9
2/17/2026,20:35:54,251.2
2/17/2026,20:37:54,205
2/17/2026,20:39:54,214.3
2/17/2026,20:41:54,233.2
2/17/2026,20:43:54,205
2/17/2026,20:45:54,208.9
2/17/2026,20:47:54,208.9
2/17/2026,20:49:54,214.3
2/17/2026,20:51:54,214.3
2/17/2026,20:53:54,218.3
2/17/2026,20:55:54,220.9
2/17/2026,20:57:54,235.9
2/17/2026,20:59:54,226.3
2/17/2026,21:01:54,226.3
2/17/2026,21:03:54,227.7
2/17/2026,21:05:54,230.4
2/17/2026,21:07:54,234.5
2/17/2026,21:09:54,235.9
2/17/2026,21:11:54,238.6
2/17/2026,21:13:54,240
2/17/2026,21:15:54,244.2
2/17/2026,21:17:54,247
2/17/2026,21:19:54,244.2
2/17/2026,21:21:54,245.6
2/17/2026,21:23:54,248.4
2/17/2026,21:25:54,251.2
2/17/2026,21:27:54,258.2
2/17/2026,21:29:54,262.4
2/17/2026,21:31:54,284.1
2/17/2026,21:33:54,284.1
2/17/2026,21:35:54,276.8
2/17/2026,21:37:54,275.3
2/17/2026,21:39:54,298.8
2/17/2026,21:41:54,287
2/17/2026,21:43:54,315.3
2/17/2026,21:45:54,330.6
2/17/2026,21:47:54,371.5
2/17/2026,21:49:54,300.3
2/17/2026,21:51:54,306.3
2/17/2026,21:53:54,307.8
2/17/2026,21:55:54,336.8
2/17/2026,21:57:54,313.8
2/17/2026,21:59:54,318.3
2/17/2026,22:01:54,321.4
2/17/2026,22:03:54,319.9
2/17/2026,22:05:54,321.4
2/17/2026,22:07:54,324.4
2/17/2026,22:09:54,309.3
2/17/2026,22:11:54,310.8
2/17/2026,22:13:54,313.8
2/17/2026,22:15:54,319.9
2/17/2026,22:17:54,315.3
2/17/2026,22:19:54,316.8
2/17/2026,22:21:54,319.9
2/17/2026,22:23:54,319.9
2/17/2026,22:25:54,321.4
2/17/2026,22:27:54,316.8
2/17/2026,22:29:54,322.9
2/17/2026,22:31:54,318.3
2/17/2026,22:33:54,329
2/17/2026,22:35:54,326
2/17/2026,22:37:54,329
2/17/2026,22:39:54,322.9
2/17/2026,22:41:54,326
2/17/2026,22:43:54,327.5
2/17/2026,22:45:54,352.4
2/17/2026,22:47:54,326
